feature,importance
DiscountApplied,0.09980202455645414
effective_price,0.0958088023648794
ProductPrice,0.09394475157947951
discount_price_ratio,0.08766528797337322
risk_score,0.08460584185369414
rating_risk_score,0.07670756282234074
CustomerPurchaseHistory,0.07061038399270125
return_rate,0.06395549359576079
CustomerAge,0.06010038122506697
CustomerReturnHistory,0.057853766592099794
ProductRating,0.05424194950280922
Category,0.0356072168440773
Quantity,0.026775786419174365
PaymentMethod,0.024171763566441618
Product_Warranty,0.02106000366517094
CustomerGender,0.01473519310936245
age_group,0.013035231630063577
ShippingMode,0.008307992205706001
is_bulk_order,0.004888486528883362
is_low_rated,0.0036122602330317926
is_high_value,0.0025098197394294187
